YEAR_MONTH,attempt_number,payment_method,total_attempts,success_count,success_rate,Success_Rate_Change
2026-05,2,CASH,2,0,0,-0.63
2026-02,1,CASH,11,5,0.45,-0.2
2026-05,3,CASH,2,1,0.5,-0.32
2025-01,1,CASH,223,131,0.59,-0.06
2026-02,3,CASH,17,10,0.59,-0.26
2025-09,1,CASH,207,127,0.61,-0.04
2025-05,1,CASH,216,131,0.61,-0.02
2026-04,2,CASH,24,15,0.63,0
2026-03,2,CASH,24,15,0.63,-0.12
2025-04,1,CASH,195,122,0.63,-0.02
2025-11,1,CASH,204,131,0.64,-0.04
2024-09,1,CASH,211,135,0.64,-0.01
2024-10,1,CASH,196,126,0.64,0
2025-08,1,CASH,213,138,0.65,-0.02
2024-08,1,CASH,201,131,0.65,-0.04
2024-05,1,CASH,205,133,0.65,-0.02
2026-01,1,CASH,17,11,0.65,-0.02
2025-02,1,CASH,179,117,0.65,0.06
2024-12,1,CASH,203,131,0.65,-0.01
2025-03,1,CASH,232,151,0.65,0
2025-06,1,CASH,192,126,0.66,0.05
2024-11,1,CASH,197,130,0.66,0.02
2025-01,2,CASH,360,238,0.66,-0.09
2026-01,2,CASH,24,16,0.67,-0.01
2025-07,1,CASH,207,138,0.67,0.01
2025-12,1,CASH,227,153,0.67,0.03
2024-04,1,CASH,227,151,0.67,-0.01
2024-11,2,CASH,311,208,0.67,-0.02
2024-01,1,CASH,242,164,0.68,
2025-10,1,CASH,219,149,0.68,0.07
2025-12,2,CASH,351,240,0.68,-0.09
2024-03,1,CASH,203,139,0.68,-0.01
2024-06,1,CASH,201,138,0.69,0.04
2024-10,2,CASH,318,218,0.69,-0.01
2024-05,2,CASH,302,209,0.69,0
2024-04,2,CASH,300,207,0.69,-0.06
2024-02,1,CASH,204,140,0.69,0.01
2024-07,1,CASH,198,137,0.69,0
2024-07,2,CASH,321,223,0.69,-0.01
2024-09,2,CASH,323,227,0.7,-0.01
2025-05,2,CASH,299,210,0.7,-0.04
2024-06,2,CASH,296,207,0.7,0.01
